Item_Id,Nome,Preço,Moeda,Categoria,Marca,Quantidade,Link,Detalhes_Imagem,Descrição,Condicao,Estado
MLA1460121355,Apple Tv 4k (wifi) A2737 De Voz 3.a Generación 64gb,310000.0,ARS,MLA352001,A2737,1,https://articulo.mercadolibre.com.ar/MLA-1460121355-apple-tv-4k-wifi-a2737-de-voz-3a-generacion-64gb-_JM,http://http2.mlstatic.com/D_656581-MLA80364764862_112024-O.jpg,,used,Capital Federal
MLA1781884668, Apple Tv A1427 2.ª Generación ,37081.98,ARS,MLA352001,A1378,1,https://articulo.mercadolibre.com.ar/MLA-1781884668-apple-tv-a1427-2-generacion-_JM,http://http2.mlstatic.com/D_702057-MLA69995665359_062023-O.jpg,,used,Buenos Aires
MLA1399520644,Apple Tv 4k 32gb A1842 Negro (usado),400000.0,ARS,MLA352001,A1842,1,https://articulo.mercadolibre.com.ar/MLA-1399520644-apple-tv-4k-32gb-a1842-negro-usado-_JM,http://http2.mlstatic.com/D_725077-MLA54956413007_042023-O.jpg,,used,Capital Federal
MLA1460688751,Apple Tv Hd 4.a Generación 2015 A1625 / 32 Gb,180000.0,ARS,MLA352001,A1625,1,https://articulo.mercadolibre.com.ar/MLA-1460688751-apple-tv-hd-4a-generacion-2015-a1625-32-gb-_JM,http://http2.mlstatic.com/D_911407-MLA80433264578_112024-O.jpg,,used,Santa Fe
MLA1133058175,Apple Tv Modelo A1469,65000.0,ARS,MLA352001,A1469,1,https://articulo.mercadolibre.com.ar/MLA-1133058175-apple-tv-modelo-a1469-_JM,http://http2.mlstatic.com/D_884327-MLA49716868519_042022-O.jpg,,used,Capital Federal
MLA1447987851,Apple Tv A1427 Estándar 3.a Generación Fhd,70000.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-1447987851-apple-tv-a1427-estandar-3a-generacion-fhd-_JM,http://http2.mlstatic.com/D_961556-MLA78963726803_092024-O.jpg,,used,Capital Federal
MLA1474236571,Apple Tv Hd A1625 De Voz 4.a Full Hd 32gb Negro,169000.0,ARS,MLA352001,A1625,1,https://articulo.mercadolibre.com.ar/MLA-1474236571-apple-tv-hd-a1625-de-voz-4a-full-hd-32gb-negro-_JM,http://http2.mlstatic.com/D_739022-MLA82190259141_012025-O.jpg,,used,Buenos Aires
MLA1462043665,Apple Tv 2a Generación Full Hd,40000.0,ARS,MLA352001,A1378,1,https://articulo.mercadolibre.com.ar/MLA-1462043665-apple-tv-2a-generacion-full-hd-_JM,http://http2.mlstatic.com/D_874319-MLA75417331056_042024-O.jpg,,used,Capital Federal
MLA1470131529,Apple Tv Hd A1625 De Voz 4.a Gen 2015 Full Hd 32gb,150000.0,ARS,MLA352001,A1625,1,https://articulo.mercadolibre.com.ar/MLA-1470131529-apple-tv-hd-a1625-de-voz-4a-gen-2015-full-hd-32gb-_JM,http://http2.mlstatic.com/D_886932-MLA81525220230_012025-O.jpg,,used,Capital Federal
MLA1990674538,Apple Tv 3.a Generación A1427,49000.0,ARS,MLA352001,A1427,1,https://articulo.mercadolibre.com.ar/MLA-1990674538-apple-tv-3a-generacion-a1427-_JM,http://http2.mlstatic.com/D_654053-MLA81539778256_012025-O.jpg,,used,Capital Federal
